,Launch_Date,LEO,SSO,MEO,GTO,HEO,BEO
444,2025-05-31,15525.0,,,,,
445,2025-06-03,18230.0,,,,,
446,2025-06-04,15525.0,,,,,
447,2025-06-07,,,,6400.0,,
448,2025-06-08,14950.0,,,,,
449,2025-06-10,18230.0,,,,,
450,2025-06-13,16590.0,,,,,
451,2025-06-17,14950.0,,,,,
452,2025-06-18,16100.0,,,,,
453,2025-06-23,9534.9,,,,,
454,2025-06-25,13112.5,,,,,
455,2025-06-28,15237.5,,,,,
456,2025-07-01,3800.0,,,,,
457,2025-07-02,15525.0,,,,,
458,2025-07-08,16100.0,,,,,
459,2025-07-13,,,,4500.0,,
460,2025-07-16,13355.0,,,,,
461,2025-07-19,,13800.0,,,,
462,2025-07-22,,,3400.0,,,
463,2025-07-23,,920.0,,,,
464,2025-07-26,16100.0,,,,,
465,2025-07-27,,13800.0,,,,
466,2025-07-30,16100.0,,,,,
467,2025-07-31,,12525.0,,,,
468,2025-08-01,10890.0,,,,,
469,2025-08-04,16100.0,,,,,
470,2025-08-11,11760.0,,,,,
471,2025-08-14,16100.0,13800.0,,,,
472,2025-08-18,,13800.0,,,,
473,2025-08-22,5020.0,13800.0,,,,
474,2025-08-24,10000.0,,,,,
475,2025-08-26,,1190.0,,,,
476,2025-08-27,16100.0,,,,,
477,2025-08-28,16100.0,,,,,
478,2025-08-30,,13800.0,,,,
479,2025-08-31,16100.0,,,,,
480,2025-09-03,16100.0,13800.0,,,,
481,2025-09-05,16100.0,,,,,
482,2025-09-06,,13800.0,,,,
483,2025-09-10,6300.0,,,,,
484,2025-09-12,,,,7800.0,,
485,2025-09-13,,13800.0,,,,
486,2025-09-14,3290.0,,,,,
487,2025-09-18,16100.0,,,,,
488,2025-09-19,,13800.0,,,,
489,2025-09-21,16100.0,,,,,
490,2025-09-22,6400.0,,,,,
491,2025-09-24,,,,,,1517.0
492,2025-09-25,16100.0,,,,,
493,2025-09-26,,13800.0,,,,
494,2025-09-29,16100.0,,,,,
495,2025-10-03,16100.0,,,,,
496,2025-10-07,16100.0,,,,,
497,2025-10-08,16100.0,,,,,
498,2025-10-14,11760.0,,,,,
499,2025-10-15,8400.0,,,,,
500,2025-10-16,16100.0,,,,,
501,2025-10-19,16100.0,,,,,
502,2025-10-22,16100.0,,,,,
503,2025-10-24,,,,6100.0,,
504,2025-10-25,16100.0,,,,,
505,2025-10-26,16100.0,,,,,
506,2025-10-28,16100.0,,,,,
507,2025-10-29,16675.0,,,,,
508,2025-10-31,16100.0,,,,,
509,2025-11-02,1812.408,,,,,
510,2025-11-06,16387.5,,,,,
511,2025-11-09,16675.0,,,,,
512,2025-11-11,16675.0,,,,,
513,2025-11-15,16675.0,,,,,
514,2025-11-17,1140.0,,,,,
515,2025-11-19,16675.0,,,,,
516,2025-11-21,16675.0,,,,,
517,2025-11-22,16675.0,,,,,
518,2025-11-23,16100.0,,,,,
519,2025-11-28,4048.6,,,,,
